Date,Pen,Tag,Start_Time,End_Time,Total_Time,Total_Time,Nose_Rub,Water_Lap,Idle
24/02/2022,121,83F,10:41:17,10:44:08,0:02:51,2.85,0,0,0
24/02/2022,121,25X,10:45:39,10:46:50,0:01:11,1.18,0,0,0
24/02/2022,121,83F,10:49:09,10:50:32,0:01:23,1.38,0,0,0
24/02/2022,121,83F,10:53:00,10:53:17,0:00:17,0.28,0,0,1
24/02/2022,121,83F,10:53:47,10:54:11,0:00:24,0.4,0,0,1
24/02/2022,121,54E,10:55:54,11:00:02,0:04:08,4.13,1,1,0
24/02/2022,120,64C,10:57:24,11:00:25,0:03:01,3.02,0,0,0
24/02/2022,120,16E,11:01:13,11:02:59,0:01:46,1.77,0,0,0
24/02/2022,121,N/A,11:01:51,11:03:39,0:01:48,1.8,0,0,0
24/02/2022,121,25X,11:08:28,11:09:46,0:01:18,1.3,0,0,1
24/02/2022,120,63F,11:09:59,11:10:53,0:00:54,0.9,0,0,0
24/02/2022,121,N/A,11:10:56,11:12:30,0:01:34,1.57,0,0,0
24/02/2022,121,31F,11:18:04,11:18:49,0:00:45,0.75,0,0,0
24/02/2022,121,25X,11:19:26,11:19:48,0:00:22,0.37,0,0,0
24/02/2022,120,110C,11:20:10,11:24:11,0:04:01,4.02,1,0,0
24/02/2022,121,25X,11:20:28,11:22:13,0:01:45,1.75,0,0,0
24/02/2022,120,149A,11:25:00,11:26:16,0:01:16,1.27,0,0,0
24/02/2022,120,53F,11:26:49,11:28:12,0:01:23,1.38,0,0,0
24/02/2022,120,64C,11:42:02,11:43:59,0:01:57,1.95,1,0,0
24/02/2022,121,54E,11:45:36,11:51:50,0:06:14,6.23,1,1,0
24/02/2022,120,16E,11:48:07,11:49:17,0:01:10,1.17,1,0,0
24/02/2022,120,63F,11:55:53,11:57:18,0:01:25,1.42,0,0,0
24/02/2022,121,83F,12:00:59,12:01:40,0:00:41,0.68,0,0,0
24/02/2022,121,25X,12:08:05,12:12:04,0:03:59,3.98,1,1,0
24/02/2022,120,53F,12:10:49,12:12:31,0:01:42,1.7,0,0,0
24/02/2022,121,78F,12:17:35,12:18:58,0:01:23,1.38,0,1,0
24/02/2022,121,31F,12:22:37,12:24:30,0:01:53,1.88,0,0,0
24/02/2022,121,54E,12:37:39,12:42:54,0:05:15,5.25,1,1,0
24/02/2022,120,53F,12:42:40,12:44:40,0:02:00,2,0,0,0
24/02/2022,121,78F,13:49:24,13:50:20,0:00:56,0.93,0,1,0
24/02/2022,120,64C,13:58:04,14:00:54,0:02:50,2.83,1,0,0
24/02/2022,120,53F,14:10:45,14:11:47,0:01:02,1.03,0,0,0
24/02/2022,121,31F,14:16:06,14:16:51,0:00:45,0.75,0,0,1
24/02/2022,121,31F,14:17:16,14:20:11,0:02:55,2.92,0,0,1
24/02/2022,120,63F,14:20:27,14:21:29,0:01:02,1.03,0,0,0
24/02/2022,121,31F,14:20:42,14:22:40,0:01:58,1.97,0,0,1
24/02/2022,121,31F,14:23:13,14:24:44,0:01:31,1.52,0,0,1
24/02/2022,120,110C,14:24:58,14:28:24,0:03:26,3.43,1,0,0
24/02/2022,121,31F,14:30:02,14:33:55,0:03:53,3.88,0,0,1
24/02/2022,121,31F,14:34:47,14:35:13,0:00:26,0.43,0,0,0
24/02/2022,121,83F,14:47:59,14:48:25,0:00:26,0.43,0,0,0
24/02/2022,121,54E,15:03:24,15:08:12,0:04:48,4.8,0,0,1
30/05/2022,118,79K,7:57:31,7:59:01,0:01:30,1.5,0,0,0
30/05/2022,118,127K,9:16:05,9:17:06,0:01:01,1.02,0,0,0
30/05/2022,118,331K,9:23:10,9:23:40,0:00:30,0.5,0,0,1
30/05/2022,118,28F,9:32:19,9:33:36,0:01:17,1.28,0,0,0
30/05/2022,118,68F,9:38:01,9:39:20,0:01:19,1.32,0,0,0
30/05/2022,118,143A,9:40:16,9:41:21,0:01:05,1.08,0,0,0
30/05/2022,118,127K,9:41:31,9:42:28,0:00:57,0.95,0,0,0
30/05/2022,118,42G,9:47:34,9:49:23,0:01:49,1.82,0,1,0
30/05/2022,118,64F,9:51:14,9:53:15,0:02:01,2.02,0,1,0
30/05/2022,118,405F,9:54:35,9:56:28,0:01:53,1.88,0,0,0
30/05/2022,118,405F,9:57:11,9:58:27,0:01:16,1.27,0,0,0
30/05/2022,118,68F,10:01:52,10:03:42,0:01:50,1.83,0,0,0
30/05/2022,118,143A,10:04:52,10:05:46,0:00:54,0.9,0,0,0
30/05/2022,118,46F,10:21:25,10:22:08,0:00:43,0.72,0,0,0
30/05/2022,118,68F,10:31:54,10:32:55,0:01:01,1.02,0,0,0
30/05/2022,118,64F,10:36:59,10:39:15,0:02:16,2.27,0,0,0
30/05/2022,118,310G,10:52:51,10:55:26,0:02:35,2.58,0,0,0
30/05/2022,118,42G,11:03:54,11:06:52,0:02:58,2.97,0,1,0
30/05/2022,118,110K,11:10:03,11:10:26,0:00:23,0.38,0,0,0
30/05/2022,118,405F,11:18:17,11:18:55,0:00:38,0.63,0,0,0
30/05/2022,118,405F,11:19:13,11:20:00,0:00:47,0.78,0,0,0
30/05/2022,118,1C,11:20:04,11:20:38,0:00:34,0.57,0,0,0
30/05/2022,118,405F,11:21:07,11:22:17,0:01:10,1.17,0,0,0
30/05/2022,118,42G,11:33:56,11:35:25,0:01:29,1.48,1,1,0
30/05/2022,118,68F,11:45:01,11:46:26,0:01:25,1.42,0,0,0
30/05/2022,118,46F,11:58:53,11:59:38,0:00:45,0.75,0,0,0
30/05/2022,118,68F,12:11:52,12:12:44,0:00:52,0.87,0,0,0
30/05/2022,118,68F,12:22:35,12:23:23,0:00:48,0.8,0,0,0
30/05/2022,118,28F,12:24:12,12:24:40,0:00:28,0.47,0,0,0
30/05/2022,118,28F,12:28:55,12:29:24,0:00:29,0.48,0,0,0
30/05/2022,118,28F,12:32:15,12:32:51,0:00:36,0.6,0,0,0
30/05/2022,118,297K,12:33:02,12:33:29,0:00:27,0.45,0,0,0
30/05/2022,118,297K,12:38:05,12:38:48,0:00:43,0.72,0,0,0
30/05/2022,118,46F,12:40:09,12:41:07,0:00:58,0.97,0,0,0
30/05/2022,118,143A,12:46:27,12:47:28,0:01:01,1.02,0,0,0
30/05/2022,118,405F,13:10:02,13:12:22,0:02:20,2.33,0,1,0
30/05/2022,118,46F,13:16:26,13:17:16,0:00:50,0.83,0,0,0
30/05/2022,118,55G,13:27:28,13:31:15,0:03:47,3.78,0,0,0
30/05/2022,118,55G,13:31:50,13:32:42,0:00:52,0.87,0,0,0
30/05/2022,118,1C,13:37:04,13:37:32,0:00:28,0.47,0,0,0
30/05/2022,118,28F,13:49:55,13:50:17,0:00:22,0.37,0,0,0
30/05/2022,118,110K,14:25:15,14:27:42,0:02:27,2.45,0,0,0
30/05/2022,118,64F,14:31:08,14:32:41,0:01:33,1.55,0,0,0
30/05/2022,118,28F,14:39:48,14:40:40,0:00:52,0.87,0,0,0
30/05/2022,118,28F,14:42:00,14:42:15,0:00:15,0.25,0,0,0
30/05/2022,118,68F,14:46:46,14:48:13,0:01:27,1.45,0,0,0
30/05/2022,118,143A,14:52:10,14:52:36,0:00:26,0.43,0,0,0
30/05/2022,118,68F,15:14:52,15:15:52,0:01:00,1,0,0,0
30/05/2022,118,28F,15:18:26,15:18:37,0:00:11,0.18,0,0,0
30/05/2022,118,28F,15:19:43,15:19:55,0:00:12,0.2,0,0,0
30/05/2022,118,42G,15:31:11,15:42:33,0:11:22,11.37,0,0,0
30/05/2022,118,28F,15:44:26,15:44:40,0:00:14,0.23,0,0,0
30/05/2022,118,64F,15:49:17,15:51:43,0:02:26,2.43,0,0,0
30/05/2022,118,28F,16:06:44,16:07:10,0:00:26,0.43,0,0,0
30/05/2022,118,301G,16:14:23,16:15:58,0:01:35,1.58,0,0,0
30/05/2022,118,10E,16:22:59,16:24:31,0:01:32,1.53,0,0,1
30/05/2022,118,10E,16:25:40,16:36:00,0:10:20,10.33,0,0,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
